year,province,subject_type,score,rank_min,rank_max,same_score_count,cumulative_count,batch_line_score,above_batch_line_count,source_url
2025,重庆,物理,681,1,159,159,159,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,680,160,176,17,176,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,679,177,195,19,195,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,678,196,217,22,217,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,677,218,244,27,244,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,676,245,276,32,276,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,675,277,305,29,305,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,674,306,330,25,330,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,673,331,374,44,374,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,672,375,403,29,403,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,671,404,433,30,433,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,670,434,470,37,470,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,669,471,516,46,516,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,668,517,561,45,561,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,667,562,602,41,602,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,666,603,643,41,643,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,665,644,693,50,693,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,664,694,740,47,740,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,663,741,792,52,792,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
2025,重庆,物理,662,793,844,52,844,425,103219,https://gaokao.eol.cn/chong_qing/dongtai/202506/t20250624_2676788.shtml
